depth_top (m),depth_bott (m),depth_mid (m),ageGICC05ext_top (yr BP),ageGICC05ext_bott (yr BP),ageGICC05_mid (yr BP),NH4source (ng/m3),NH4source+1sigma (ng/m3),NH4source-1sigma (ng/m3),NH4 atm. residence time (days),Nasource (ng/m3),Nasource+1sigma (ng/m3),Nasource-1sigma (ng/m3),Na atm. residence time (days),Casource (ng/m3),Casource+1sigma (ng/m3),Casource-1sigma (ng/m3),Ca atm. residence time (days)
1187.8825,1188.7530,1188.3178,7714.8223,7725.1571,7719.9897,85.506,163.68,7.329,4.53,101.54,262.42,-59.33,1.51,29.74,74.73,-15.26,6.88
1188.7530,1189.8335,1189.2933,7725.1571,7735.6081,7730.3826,121.51,232.49,10.532,4.53,144.11,372.01,-83.79,1.51,29.06,73.01,-14.88,6.88
1189.8335,1191.0250,1190.4293,7735.6081,7745.0000,7740.3041,68.884,131.76,6.0128,4.53,114.35,294.96,-66.27,1.51,31.81,79.88,-16.26,6.89
1191.0250,1192.1250,1191.5750,7745.0000,7754.6253,7749.8127,37.968,72.612,3.3247,4.53,110.55,285.08,-63.97,1.51,25.86,64.92,-13.21,6.89
1192.1250,1193.1980,1192.6615,7754.6253,7765.1890,7759.9072,122.81,234.99,10.622,4.53,126.61,326.83,-73.61,1.51,27.97,70.30,-14.36,6.88
1193.1980,1194.2150,1193.7065,7765.1890,7774.8888,7770.0389,143.9,275.77,12.042,4.51,76.24,197.36,-44.88,1.50,19.31,48.66,-10.03,6.86
1194.2150,1195.1655,1194.6903,7774.8888,7784.5841,7779.7364,64.445,123.68,5.2132,4.48,89.97,233.51,-53.56,1.49,42.02,106.15,-22.12,6.84
1195.1655,1196.2110,1195.6883,7784.5841,7794.9358,7789.7599,105.04,201.89,8.1847,4.46,114.43,297.73,-68.86,1.48,40.89,103.68,-21.89,6.81
1196.2110,1197.2585,1196.7348,7794.9358,7805.0018,7799.9688,92.96,178.72,7.1994,4.45,110.91,288.59,-66.77,1.48,33.20,84.26,-17.87,6.79
1197.2585,1198.2210,1197.7398,7805.0018,7814.9562,7809.9790,20.979,40.284,1.6747,4.46,243.31,631.45,-144.84,1.48,22.07,55.91,-11.78,6.81
1198.2210,1199.1380,1198.6795,7814.9562,7824.8394,7819.8978,108.14,207.07,9.2158,4.49,105.56,272.48,-61.37,1.50,37.20,93.81,-19.41,6.85
1199.1380,1200.1005,1199.6193,7824.8394,7835.0045,7829.9220,208.27,397.07,19.481,4.56,147.51,377.72,-82.70,1.52,41.35,103.47,-20.77,6.91
1200.1005,1201.1545,1200.6275,7835.0045,7844.7760,7839.8903,41.958,79.733,4.1835,4.60,108.93,277.27,-59.41,1.53,27.54,68.51,-13.43,6.96
1201.1545,1202.1165,1201.6355,7844.7760,7854.9982,7849.8871,61.459,116.56,6.354,4.64,99.97,253.56,-53.62,1.54,31.28,77.53,-14.96,6.99
1202.1165,1202.9875,1202.5520,7854.9982,7864.8335,7859.9159,99.707,188.8,10.618,4.66,102.19,258.43,-54.05,1.55,52.64,130.03,-24.76,7.02
1202.9875,1203.8130,1203.4003,7864.8335,7875.1727,7870.0031,75.979,143.7,8.263,4.68,72.47,182.89,-37.94,1.56,30.26,74.57,-14.06,7.04
1203.8130,1204.6835,1204.2483,7875.1727,7885.0018,7880.0873,NaN,NaN,NaN,4.70,NaN,NaN,NaN,1.57,NaN,#VALUE!,#VALUE!,7.06
1204.6835,1205.5670,1205.1253,7885.0018,7894.8046,7889.9032,199.02,376.03,22.021,4.70,94.64,238.48,-49.19,1.57,26.14,64.26,-11.98,7.07
1205.5670,1206.4380,1206.0025,7894.8046,7905.1165,7899.9605,78.54,148.3,8.7828,4.72,95.44,240.23,-49.34,1.57,27.02,66.33,-12.30,7.08
1206.4380,1207.3025,1206.8703,7905.1165,7914.8139,7909.9652,NaN,NaN,NaN,4.73,NaN,NaN,NaN,1.58,NaN,#VALUE!,#VALUE!,7.09
1207.3025,1208.1535,1207.7280,7914.8139,7924.9082,7919.8611,72.768,137.09,8.4428,4.75,107.58,269.64,-54.48,1.58,26.97,65.94,-12.01,7.11
1208.1535,1209.0180,1208.5858,7924.9082,7935.1833,7930.0458,89.945,169.23,10.663,4.77,64.62,161.57,-32.34,1.59,18.72,45.64,-8.21,7.14
1209.0180,1209.9545,1209.4863,7935.1833,7944.7760,7939.9796,53.533,100.67,6.3968,4.78,213.05,532.27,-106.17,1.59,31.65,77.10,-13.80,7.15
1209.9545,1210.9995,1210.4770,7944.7760,7955.0793,7949.9276,48.848,91.889,5.8066,4.78,96.21,240.52,-48.11,1.59,29.93,72.94,-13.08,7.14
1210.9995,1211.9620,1211.4808,7955.0793,7964.9605,7960.0199,56.96,107.11,6.8093,4.79,160.81,401.82,-80.20,1.60,36.15,88.01,-15.72,7.15
1211.9620,1212.8420,1212.4020,7964.9605,7975.0036,7969.9820,89.917,168.91,10.927,4.81,104.40,260.40,-51.60,1.60,29.63,71.97,-12.72,7.17
1212.8420,1213.7130,1213.2775,7975.0036,7985.1727,7980.0882,115.88,217.62,14.138,4.82,108.25,269.92,-53.42,1.61,39.05,94.78,-16.68,7.18
1213.7130,1214.5380,1214.1255,7985.1727,7994.8394,7990.0061,105.98,199.15,12.814,4.81,89.13,222.54,-44.28,1.60,29.20,70.92,-12.52,7.18
1214.5380,1215.4085,1214.9733,7994.8394,8005.0018,7999.9206,90.066,169.23,10.902,4.81,97.29,242.89,-48.32,1.61,25.59,62.14,-10.96,7.18
1215.4085,1216.2790,1215.8438,8005.0018,8014.9424,8009.9721,166.82,313.21,20.427,4.82,139.40,347.51,-68.71,1.61,30.81,74.72,-13.10,7.19
1216.2790,1217.1170,1216.6980,8014.9424,8024.8046,8019.8735,120.8,226.52,15.083,4.85,94.76,235.66,-46.15,1.62,38.26,92.55,-16.04,7.21
1217.1170,1217.8965,1217.5068,8024.8046,8034.8900,8029.8473,120.61,225.75,15.474,4.88,122.66,304.08,-58.76,1.63,33.76,81.37,-13.84,7.25
1217.8965,1218.7450,1218.3208,8034.8900,8045.2224,8040.0562,170.92,319.52,22.326,4.91,113.48,280.72,-53.77,1.64,31.72,76.24,-12.79,7.27
1218.7450,1219.6615,1219.2033,8045.2224,8054.9546,8050.0885,125.46,234.39,16.523,4.92,140.32,346.84,-66.19,1.64,40.52,97.22,-16.19,7.29
1219.6615,1220.5025,1220.0820,8054.9546,8064.8139,8059.8842,89.027,166.23,11.829,4.94,77.52,191.45,-36.41,1.65,19.05,45.64,-7.53,7.31
1220.5025,1221.3275,1220.9150,8064.8139,8075.1305,8069.9722,52.418,97.804,7.0319,4.96,125.16,308.82,-58.51,1.66,17.95,42.90,-7.00,7.33
1221.3275,1222.1230,1221.7253,8075.1305,8084.6481,8079.8893,237.29,442.03,32.541,5.00,88.77,218.45,-40.92,1.67,26.18,62.34,-9.98,7.36
1222.1230,1222.9940,1222.5585,8084.6481,8095.1454,8089.8967,NaN,NaN,NaN,5.04,NaN,NaN,NaN,1.68,NaN,#VALUE!,#VALUE!,7.41
1222.9940,1223.8535,1223.4238,8095.1454,8104.6867,8099.9160,91.613,169.88,13.35,5.09,112.23,273.94,-49.49,1.70,33.16,78.19,-11.86,7.46
1223.8535,1224.6195,1224.2365,8104.6867,8115.0609,8109.8738,183.26,339.2,27.331,5.13,122.89,299.00,-53.23,1.71,31.02,72.83,-10.79,7.50
1224.6195,1225.3755,1224.9975,8115.0609,8124.8339,8119.9474,86.422,159.48,13.362,5.20,93.04,225.20,-39.11,1.74,31.97,74.57,-10.64,7.56
1225.3755,1226.1675,1225.7715,8124.8339,8135.2813,8130.0576,196.41,361.1,31.726,5.28,118.37,284.57,-47.83,1.76,42.10,97.43,-13.22,7.64
1226.1675,1226.9735,1226.5705,8135.2813,8144.4986,8139.8900,107.17,196.4,17.94,5.36,83.70,200.09,-32.69,1.79,30.08,69.10,-8.94,7.72
1226.9735,1227.7135,1227.3435,8144.4986,8155.2927,8149.8957,88.326,161.53,15.124,5.42,70.07,166.92,-26.79,1.81,35.47,81.07,-10.12,7.77
1227.7135,1228.4200,1228.0668,8155.2927,8164.9353,8160.1140,116.06,211.82,20.305,5.47,52.46,124.53,-19.60,1.83,29.79,67.75,-8.18,7.82
1228.4200,1229.1270,1228.7735,8164.9353,8175.1406,8170.0380,NaN,NaN,NaN,5.50,NaN,NaN,NaN,1.84,NaN,#VALUE!,#VALUE!,7.85
1229.1270,1229.8260,1229.4765,8175.1406,8184.6895,8179.9151,148.5,270.65,26.352,5.50,90.91,215.24,-33.43,1.84,37.72,85.53,-10.10,7.85
1229.8260,1230.4720,1230.1490,8184.6895,8194.9964,8189.8429,149.73,273.33,26.122,5.49,97.25,231.14,-36.65,1.83,55.84,126.86,-15.18,7.83
1230.4720,1231.1140,1230.7930,8194.9964,8205.0925,8200.0444,64.817,118.54,11.09,5.46,82.23,196.25,-31.79,1.83,27.26,62.09,-7.57,7.81
1231.1140,1231.8825,1231.4983,8205.0925,8214.8223,8209.9574,114.5,209.79,19.21,5.43,89.86,215.25,-35.54,1.81,39.66,90.62,-11.30,7.78
1231.8825,1232.6730,1232.2778,8214.8223,8224.8594,8219.8408,159.23,292.01,26.451,5.41,99.76,239.39,-39.86,1.81,32.62,74.67,-9.43,7.76
1232.6730,1233.4195,1233.0463,8224.8594,8235.0609,8229.9601,62.394,114.43,10.361,5.40,82.67,198.32,-32.99,1.80,26.54,60.79,-7.72,7.75
1233.4195,1234.2790,1233.8493,8235.0609,8245.4211,8240.2410,125.57,230.45,20.683,5.38,102.55,246.31,-41.22,1.80,32.28,74.09,-9.52,7.73
1234.2790,1235.2455,1234.7623,8245.4211,8255.2273,8250.3242,82.419,151.48,13.358,5.35,86.90,209.29,-35.50,1.79,23.97,55.18,-7.23,7.71
1235.2455,1236.2080,1235.7268,8255.2273,8264.9171,8260.0722,62.626,115.26,9.9955,5.31,95.60,230.75,-39.55,1.77,28.59,66.03,-8.85,7.67
1236.2080,1237.0880,1236.6480,8264.9171,8274.8394,8269.8783,207.59,382.57,32.621,5.27,71.23,172.26,-29.80,1.76,25.19,58.41,-8.03,7.63
1237.0880,1237.8930,1237.4905,8274.8394,8285.0018,8279.9206,71.537,132.05,11.026,5.22,74.33,180.22,-31.56,1.74,32.45,75.55,-10.65,7.59
1237.8930,1238.6490,1238.2710,8285.0018,8294.8364,8289.9191,129.05,238.67,19.431,5.18,74.27,180.67,-32.14,1.73,29.96,70.05,-10.14,7.54
1238.6490,1239.3955,1239.0223,8294.8364,8305.1021,8299.9693,123.28,228.21,18.353,5.16,75.97,185.09,-33.15,1.72,25.61,60.02,-8.81,7.52
1239.3955,1240.1975,1239.7965,8305.1021,8315.1861,8310.1441,129.63,239.94,19.313,5.15,106.87,260.29,-46.55,1.72,34.56,81.03,-11.91,7.52
1240.1975,1240.9835,1240.5905,8315.1861,8324.7525,8319.9693,58.78,108.71,8.8461,5.16,120.29,292.43,-51.85,1.72,21.45,50.25,-7.34,7.52
1240.9835,1241.6710,1241.3273,8324.7525,8335.2171,8329.9848,133.22,246.05,20.396,5.18,84.93,205.83,-35.97,1.73,32.84,76.77,-11.09,7.54
1241.6710,1242.4170,1242.0440,8335.2171,8344.8046,8340.0108,174.55,321.75,27.357,5.21,95.78,231.15,-39.60,1.74,41.48,96.68,-13.72,7.57
1242.4170,1243.2650,1242.8410,8344.8046,8354.9049,8349.8547,74.87,137.71,12.032,5.24,123.78,297.42,-49.85,1.75,26.58,61.72,-8.56,7.60
1243.2650,1244.0510,1243.6580,8354.9049,8365.1636,8360.0342,61.784,113.49,10.078,5.26,97.13,232.76,-38.51,1.76,27.26,63.15,-8.64,7.62
1244.0510,1244.7730,1244.4120,8365.1636,8374.8594,8370.0115,118.88,218.29,19.472,5.27,101.00,241.88,-39.88,1.76,37.67,87.20,-11.86,7.63
1244.7730,1245.5780,1245.1755,8374.8594,8385.1141,8379.9867,83.58,153.44,13.72,5.28,107.93,258.40,-42.54,1.76,17.83,41.25,-5.60,7.64
1245.5780,1246.4030,1245.9905,8385.1141,8394.6805,8389.8973,106.38,195.29,17.473,5.28,78.85,188.78,-31.07,1.76,30.99,71.69,-9.71,7.64
1246.4030,1247.1695,1246.7863,8394.6805,8405.0609,8399.8707,106.35,195.27,17.421,5.28,81.92,196.22,-32.38,1.76,21.21,49.08,-6.66,7.64
1247.1695,1247.9255,1247.5475,8405.0609,8414.8339,8409.9474,265.38,487.56,43.195,5.27,71.02,170.29,-28.25,1.76,26.42,61.21,-8.37,7.63
