NEEM ion concentration data in 10 yr resolution,,,,,,,,,,
,,,,,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,,,,,
,,,,,,,,,,
Column A: ,NEEM depth in m below the surface of top of 10 yr interval,,,,,,,,,
Column B: ,NEEM depth in m below the surface of bottom of 10 yr interval,,,,,,,,,
Column C: ,NEEM depth in m below the surface of middle of 10 yr interval,,,,,,,,,
Column D:,"GICC05 age of the top of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column E:,"GICC05 age of the bottom of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column F:,"GICC05 age of the middle of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column G:,mean NH4+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column H:,mean NO3- ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column I:,mean Na+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column J:,mean Ca2+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column K:,meanSO42- ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
,,,,,,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,,,,,
,,,,,,,,,,
depth_top (m),depth_bott (m),depth_mid (m),ageGICC05ext_top (yr BP),ageGICC05ext_bott (yr BP),ageGICC05_mid (yr BP),NH4 (ng/g),NO3 (ng/g),Na (ng/g),Ca (ng/g),SO4 (ng/g)
1237.8930,1238.6490,1238.2710,8285.0018,8294.8364,8289.9191,9.16,97.05,7.70,8.52,NaN
1238.6490,1239.3955,1239.0223,8294.8364,8305.1021,8299.9693,8.70,115.84,7.80,7.24,NaN
1239.3955,1240.1975,1239.7965,8305.1021,8315.1861,8310.1441,9.14,95.28,10.95,9.76,NaN
1240.1975,1240.9835,1240.5905,8315.1861,8324.7525,8319.9693,4.15,87.00,12.37,6.07,NaN
1240.9835,1241.6710,1241.3273,8324.7525,8335.2171,8329.9848,9.45,99.25,8.80,9.33,NaN
1241.6710,1242.4170,1242.0440,8335.2171,8344.8046,8340.0108,12.47,96.95,10.05,11.88,NaN
1242.4170,1243.2650,1242.8410,8344.8046,8354.9049,8349.8547,5.39,94.12,13.19,7.68,NaN
1243.2650,1244.0510,1243.6580,8354.9049,8365.1636,8360.0342,4.48,79.34,10.46,7.92,NaN
1244.0510,1244.7730,1244.4120,8365.1636,8374.8594,8370.0115,8.63,95.97,10.92,10.97,NaN
1244.7730,1245.5780,1245.1755,8374.8594,8385.1141,8379.9867,6.08,87.47,11.69,5.20,NaN
1245.5780,1246.4030,1245.9905,8385.1141,8394.6805,8389.8973,7.74,99.83,8.55,9.04,NaN
1246.4030,1247.1695,1246.7863,8394.6805,8405.0609,8399.8707,7.73,91.08,8.87,6.18,NaN
1247.1695,1247.9255,1247.5475,8405.0609,8414.8339,8409.9474,19.23,102.99,7.65,7.68,NaN
1247.9255,1248.6720,1248.2988,8414.8339,8425.1379,8419.9859,9.97,103.48,10.55,8.72,NaN
1248.6720,1249.3940,1249.0330,8425.1379,8435.0036,8430.0708,8.86,102.05,9.94,8.64,NaN
1249.3940,1250.1010,1249.7475,8435.0036,8445.1636,8440.0836,12.07,100.97,10.34,8.35,NaN
1250.1010,1250.8965,1250.4988,8445.1636,8455.0918,8450.1277,10.84,95.01,9.18,7.20,NaN
